[2025-07-23 23:18:49,362] INFO - 🚀 Starting preprocessing...
[2025-07-23 23:19:02,658] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-23 23:19:02,666] INFO - 🧹 Cleaning text...
[2025-07-23 23:19:03,327] INFO - ✅ Text cleaned.
[2025-07-23 23:19:03,327] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-23 23:19:03,446] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-23 23:19:03,447] INFO - 📐 Calculating cosine similarity...
[2025-07-23 23:19:03,694] INFO - ✅ Cosine similarity matrix generated.
[2025-07-23 23:19:03,865] INFO - 💾 Data saved to disk.
[2025-07-23 23:19:03,865] INFO - ✅ Preprocessing complete.
[2025-07-23 23:50:09,395] INFO - 🚀 Starting preprocessing...
[2025-07-23 23:50:10,638] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2025-07-23 23:50:10,645] INFO - 🧹 Cleaning text...
[2025-07-23 23:50:11,783] INFO - ✅ Text cleaned.
[2025-07-23 23:50:11,783] INFO - 🔠 Vectorizing using TF-IDF...
[2025-07-23 23:50:12,108] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2025-07-23 23:50:12,109] INFO - 📐 Calculating cosine similarity...
[2025-07-23 23:50:12,376] INFO - ✅ Cosine similarity matrix generated.
[2025-07-23 23:50:12,535] INFO - 💾 Data saved to disk.
[2025-07-23 23:50:12,535] INFO - ✅ Preprocessing complete.
